gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.10Ag181500.v2.1	58.619	no	no	no	yes
SoffiXsponR570.06Eg151200.v2.1	58.337	no	no	no	yes
SoffiXsponR570.07Bg214900.v2.1	58.155	no	no	no	yes
SoffiXsponR570.05Bg344200.v2.1	58.093	no	no	no	yes
SoffiXsponR570.03Bg282500.v2.1	57.849	no	no	no	yes
SoffiXsponR570.09Ag008600.v2.1	57.666	no	no	no	yes
SoffiXsponR570.02Gg303600.v2.1	57.662	no	no	no	yes
SoffiXsponR570.02Dg089100.v2.1	57.644	no	no	no	yes
SoffiXsponR570.10Dg116800.v2.1	57.642	no	no	no	yes
SoffiXsponR570.04Bg072800.v2.1	57.287	no	no	no	yes
SoffiXsponR570.10Ag169600.v2.1	56.857	no	no	no	yes
SoffiXsponR570.10Ag025100.v2.1	56.819	no	no	no	yes
SoffiXsponR570.1Z178900.v2.1	56.725	no	no	no	yes
SoffiXsponR570.02Ag429500.v2.1	56.433	no	no	no	yes
SoffiXsponR570.02Bg007600.v2.1	56.104	no	no	no	yes
SoffiXsponR570.03Eg212700.v2.1	55.812	no	no	no	yes
SoffiXsponR570.06Eg013800.v2.1	55.742	no	no	no	yes
SoffiXsponR570.03Gg078800.v2.1	55.673	no	no	no	yes
SoffiXsponR570.05Bg074100.v2.1	55.248	no	no	no	yes
SoffiXsponR570.08Cg191400.v2.1	55.13	no	no	no	yes
SoffiXsponR570.08Bg151100.v2.1	55.004	no	no	no	yes
SoffiXsponR570.03Bg073600.v2.1	54.695	no	no	no	yes
SoffiXsponR570.08Bg169600.v2.1	54.623	no	no	no	yes
SoffiXsponR570.02Ag000400.v2.1	54.56	no	no	no	yes
SoffiXsponR570.10Ag030900.v2.1	53.867	no	no	no	yes
SoffiXsponR570.05Bg305400.v2.1	53.682	no	no	no	yes
SoffiXsponR570.04Eg059900.v2.1	53.679	no	no	no	yes
SoffiXsponR570.06Bg002200.v2.1	53.517	no	no	no	yes
SoffiXsponR570.01Cg120900.v2.1	53.343	no	no	no	yes
SoffiXsponR570.01Fg311000.v2.1	53.328	no	no	no	yes
SoffiXsponR570.10Ag009200.v2.1	53.234	no	no	no	yes
SoffiXsponR570.03Eg284300.v2.1	53.136	no	no	no	yes
SoffiXsponR570.02Fg257000.v2.1	52.921	no	no	no	yes
SoffiXsponR570.5_9Ag345500.v2.1	52.834	no	no	no	yes
SoffiXsponR570.08Dg047100.v2.1	52.535	no	no	no	yes
SoffiXsponR570.09Cg045600.v2.1	52.365	no	no	no	yes
SoffiXsponR570.02Fg109100.v2.1	52.345	no	no	no	yes
SoffiXsponR570.05Fg232800.v2.1	52.189	no	no	no	yes
SoffiXsponR570.03Ag059300.v2.1	52.023	no	no	no	yes
SoffiXsponR570.01Ag480700.v2.1	51.97	no	no	no	yes
SoffiXsponR570.7_10Ag176400.v2.1	51.934	no	no	no	yes
SoffiXsponR570.06Eg072200.v2.1	51.793	no	no	no	yes
SoffiXsponR570.05Bg384900.v2.1	51.694	no	no	no	yes
SoffiXsponR570.02Gg023300.v2.1	51.624	no	no	no	yes
SoffiXsponR570.06Fg113900.v2.1	51.449	no	no	no	yes
SoffiXsponR570.02Fg086300.v2.1	51.422	no	no	no	yes
SoffiXsponR570.07Cg049600.v2.1	51.367	no	no	no	yes
SoffiXsponR570.04Dg023600.v2.1	51.177	no	no	no	yes
SoffiXsponR570.05Cg177900.v2.1	50.927	no	no	no	yes
SoffiXsponR570.07Dg033900.v2.1	50.813	no	no	no	yes
SoffiXsponR570.03Ag281600.v2.1	50.807	no	no	no	yes
