run	bioproject	genotype_clean	organism_sra	species_group	divergence_tier	tissue	instrument	lib_type	qc_flags	qc_pass	percent_mapped	num_mapped	genes_detected_gt0	genes_detected_ge1	tx_detected_gt0	pct_decoy	reads_raw	fastqc_raw_avg_read_length
ERR5884039	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	54.58201670913311	18913797	107186	55847	130105	17.1915	69509896	101.0
ERR5884038	PRJEB44480	Q124	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	68.25590807588911	25804688	109268	58962	134915	11.5384	76003658	101.0
ERR5884037	PRJEB44480	Q208	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.72910479418664	26149887	107759	56953	132838	13.2019	78641974	101.0
ERR5884032	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	48.96023778312787	15670035	107069	51439	127615	19.7643	64200656	101.0
ERR5884031	PRJEB44480	SRA8	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	63.651307426388215	23371228	111868	54748	136069	15.409	73732814	101.0
ERR5884028	PRJEB44480	QN05-1743	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	65.12616234790717	21220740	108083	56280	131063	14.9148	65338868	101.0
ERR5884019	PRJEB44480	Q253	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	37.22580613051261	8676203	94799	43322	108488	31.1533	47958780	101.0
ERR5882631	PRJEB44480	Q151	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.8311573703362	23132927	102502	55122	125686	9.7658	66830870	101.0
ERR5882606	PRJEB44480	SRA5	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	38.76405883111341	12216002	103426	51849	120077	23.3695	63399486	101.0
ERR5882603	PRJEB44480	SRA2	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	49.43978095783499	18026021	105013	54533	126455	18.8897	73376618	101.0
ERR5884014	PRJEB44480	Q151	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.08639620567475	20531635	108012	53421	130451	13.1536	62430796	101.0
ERR5884013	PRJEB44480	Q237	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.79969511210086	22208585	105425	57190	129386	12.5477	63964280	101.0
ERR5884011	PRJEB44480	Q151	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.459071512543	23818452	105815	55005	130104	11.8659	74231602	101.0
ERR5884010	PRJEB44480	SRA2	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR	low_mapping_rate(<30%)	FLAG	25.172976073107993	11091867	77557	10194	85172	43.1451	88239978	101.0
ERR5886312	PRJEB44480	Q240	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.36255587113148	24978922	109943	60959	136874	11.617	72135934	101.0
ERR5886291	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	57.07436512427907	21033908	108891	50453	131157	17.7705	73838818	101.0
ERR5886249	PRJEB44480	Q208	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	57.002312112523136	19690234	112976	58990	137689	17.8861	69146808	101.0
