bioproject	n_runs	n_flagged	instruments	library_types	reads_raw_median	reads_raw_q1	reads_raw_q3	reads_trimmed_median	reads_trimmed_q1	reads_trimmed_q3	reads_retained_pct_median	reads_retained_pct_q1	reads_retained_pct_q3	cutadapt_pct_reads_with_adapters_median	cutadapt_pct_reads_with_adapters_q1	cutadapt_pct_reads_with_adapters_q3	cutadapt_pct_bp_removed_median	cutadapt_pct_bp_removed_q1	cutadapt_pct_bp_removed_q3	fastqc_raw_percent_gc_median	fastqc_raw_percent_gc_q1	fastqc_raw_percent_gc_q3	fastqc_raw_percent_duplicates_median	fastqc_raw_percent_duplicates_q1	fastqc_raw_percent_duplicates_q3	fastqc_raw_avg_read_length_median	fastqc_raw_avg_read_length_q1	fastqc_raw_avg_read_length_q3	fastqc_trimmed_avg_read_length_median	fastqc_trimmed_avg_read_length_q1	fastqc_trimmed_avg_read_length_q3	num_processed_median	num_processed_q1	num_processed_q3	num_mapped_median	num_mapped_q1	num_mapped_q3	percent_mapped_median	percent_mapped_q1	percent_mapped_q3	pct_decoy_median	pct_decoy_q1	pct_decoy_q3	compatible_fragment_ratio_median	compatible_fragment_ratio_q1	compatible_fragment_ratio_q3	strand_mapping_bias_median	strand_mapping_bias_q1	strand_mapping_bias_q3	frag_length_mean_median	frag_length_mean_q1	frag_length_mean_q3	genes_detected_gt0_median	genes_detected_gt0_q1	genes_detected_gt0_q3	genes_frac_ge1_median	genes_frac_ge1_q1	genes_frac_ge1_q3	tx_detected_gt0_median	tx_detected_gt0_q1	tx_detected_gt0_q3	tx_frac_ge1_median	tx_frac_ge1_q1	tx_frac_ge1_q3
PRJNA380333	1	0	Illumina HiSeq 2500	IU	31917598.0	31917598.0	31917598.0	31869976.0	31869976.0	31869976.0	99.8508	99.8508	99.8508	31.2927	31.2927	31.2927	1.3699	1.3699	1.3699	55.0	55.0	55.0	44.4928	44.4928	44.4928	150.0	150.0	150.0	147.9043	147.9043	147.9043	15934988.0	15934988.0	15934988.0	13007440.0	13007440.0	13007440.0	81.6282	81.6282	81.6282	7.6742	7.6742	7.6742	1.0	1.0	1.0	0.5004	0.5004	0.5004	219.2205	219.2205	219.2205	110999.0	110999.0	110999.0	0.2994	0.2994	0.2994	130415.0	130415.0	130415.0	0.2117	0.2117	0.2117
PRJNA383616	12	0	Illumina HiSeq 4000	IU	50024249.0	47585597.0	51696808.5	50021288.0	47582774.5	51693631.5	99.9941	99.9941	99.9945	28.0924	27.591	28.2043	1.4137	1.356	1.4699	55.5	55.0	55.625	44.0806	42.5092	45.1037	150.0	150.0	150.0	147.6904	147.6127	147.7769	25010644.0	23791387.25	25846815.75	20671181.0	19604987.5	21170968.75	82.085	81.7864	82.6517	9.1466	8.5837	9.4256	1.0	1.0	1.0	0.4992	0.4989	0.4994	273.1803	267.757	278.228	112707.0	111503.0	113511.0	0.3235	0.3131	0.3245	137376.0	136402.75	138892.5	0.238	0.2308	0.2405
PRJNA383958	6	0	Illumina HiSeq 2000	IU	79438257.0	75384001.5	80333737.5	79429821.0	75377159.0	80325709.0	99.9904	99.9897	99.9914	34.5632	34.5408	34.6143	0.985	0.7093	1.1752	51.5	51.0	52.75	50.9326	49.6958	54.918	90.0	90.0	90.0	89.3333	89.161	89.5961	39714910.5	37688579.5	40162854.5	33209395.0	30776719.0	34527989.5	85.3891	83.3077	86.5378	5.8038	5.3975	6.5344	1.0	1.0	1.0	0.5016	0.5011	0.5038	165.6542	163.709	170.9781	113735.0	112709.5	115122.75	0.3154	0.2997	0.3272	137900.5	135904.5	141426.5	0.2309	0.2182	0.2425
PRJNA415122	5	0	Illumina HiSeq 2000	IU	48039604.0	45825580.0	51988192.0	47373790.0	45124702.0	51486076.0	99.0342	98.614	99.1505	31.9714	31.9015	32.1431	4.7889	4.7105	4.8623	49.0	49.0	50.0	36.4324	36.1754	36.8636	100.0	100.0	100.0	96.0672	96.0163	96.0752	23686895.0	22562351.0	25743038.0	19213327.0	18144685.0	21347497.0	81.1137	80.4202	81.8979	8.111	8.0948	8.2782	1.0	1.0	1.0	0.4987	0.4977	0.5021	164.0942	163.1307	166.5966	131280.0	130357.0	131770.0	0.4275	0.4225	0.4277	162060.0	160266.0	163529.0	0.3165	0.3103	0.3173
PRJNA427493	16	1	Illumina HiSeq 2500	IU	60490752.0	47003953.0	68383951.0	59125037.0	45700482.0	67365762.5	97.7857	96.7779	98.5191	30.5795	29.6274	31.1926	6.4002	3.6205	9.3917	53.0	52.0	54.0	49.2815	44.0136	52.1655	101.0	101.0	101.0	95.6974	92.8823	98.0041	29562518.5	22850241.0	33682881.25	23491474.5	17661000.25	28123444.75	83.648	81.8052	85.3247	7.2143	6.964	7.8824	1.0	1.0	1.0	0.499	0.4949	0.5025	198.579	195.1808	202.3878	120946.0	116107.5	122500.5	0.3371	0.315	0.3684	149216.0	142263.5	151602.5	0.2472	0.2322	0.273
PRJNA429786	9	0	Illumina HiSeq 4000	IU	53524516.0	50744342.0	60658428.0	53186692.0	50484248.0	60145540.0	99.2373	99.1538	99.3688	31.4662	31.2028	31.625	2.1889	2.1299	2.2904	55.5	55.0	56.0	44.0517	42.4966	45.4966	150.0	150.0	150.0	147.2514	147.1471	147.3233	26593346.0	25242124.0	30072770.0	22465074.0	21378276.0	25680217.0	84.6122	83.2908	84.992	6.9797	6.8367	7.5275	1.0	1.0	1.0	0.4895	0.4884	0.4906	309.0507	307.2148	309.6079	125037.0	124308.0	125761.0	0.3692	0.3663	0.3785	154025.0	152774.0	156274.0	0.2663	0.2651	0.2731
PRJNA436063	12	0	Illumina HiSeq 2500	IU	56191997.0	55017585.0	59418751.5	56189307.0	55015024.5	59415826.5	99.994	99.9922	99.9962	33.8148	28.5761	33.9205	1.3299	1.0893	1.538	55.5	55.0	56.0	57.9895	56.0573	59.8835	125.0	125.0	125.0	123.0632	122.8628	123.4205	28094653.5	27507512.25	29707913.25	23443553.5	21638750.5	24882572.5	82.417	80.9387	84.0844	9.7463	8.1648	11.6938	1.0	1.0	1.0	0.4979	0.4976	0.498	234.7586	230.8296	238.6216	116007.5	114186.5	117362.5	0.3167	0.3023	0.3206	141875.5	138648.75	143742.25	0.2303	0.2187	0.2334
PRJNA453102	4	0	Illumina HiSeq 2000	ISR	43901274.0	39536064.5	44251251.0	43170009.0	38918889.5	43496016.5	98.3419	98.3007	98.4669	37.7545	36.3124	38.9622	2.0238	1.6747	2.3366	50.5	50.5	50.5	56.5192	55.047	57.8727	96.3218	96.294	96.4012	95.0481	94.7603	95.33	21585004.5	19459444.75	21748008.25	15818178.0	14098366.25	16184873.0	74.3686	72.9842	75.2714	11.2142	11.1521	11.9088	1.0	1.0	1.0	0.0	0.0	0.0	152.9999	151.0236	155.2162	106016.0	103850.0	107193.0	0.2784	0.2775	0.2836	126043.5	122684.25	127738.5	0.1965	0.1962	0.1999
PRJNA474042	150	0	Illumina HiSeq 2500	ISR	11193039.0	10160370.0	27640485.0	11103336.0	10041277.0	27266549.0	99.0839	98.8264	99.3091	15.6818	14.669	16.2154	1.0046	0.837	1.1978	45.0	44.0	46.0	41.7554	36.7716	56.7777	119.7028	118.7439	120.668	118.8852	117.7371	119.9712	5551668.0	5020638.5	13633274.5	3101680.5	2720499.75	6543400.75	55.1496	47.5566	58.3303	15.2387	14.5317	16.7783	1.0	1.0	1.0	0.0	0.0	0.0	153.7403	150.1932	158.3818	84227.5	80779.25	87873.0	0.3222	0.2643	0.338	94771.0	91596.5	99424.25	0.2332	0.1906	0.2424
PRJNA474275	2	2	Illumina HiSeq 2500	ISR	43456641.0	43456641.0	43456641.0	43057794.0	43057794.0	43057794.0	98.9917	98.9917	98.9917	35.267	35.267	35.267	3.0093	3.0093	3.0093	55.0	55.0	55.0	80.9108	80.9108	80.9108	100.0	100.0	100.0	97.6961	97.6961	97.6961	21528897.0	21528897.0	21528897.0	5495945.5	5495945.5	5495945.5	25.8872	25.8872	25.8872	30.517	30.517	30.517	1.0	1.0	1.0	0.0	0.0	0.0	145.1586	145.1586	145.1586	95899.0	95899.0	95899.0	0.1949	0.1949	0.1949	106972.0	106972.0	106972.0	0.1321	0.1321	0.1321
